Language,original,english,german,chinesesimp,chinese,russian,czech,polish,hungarian,italian,spanish,french,portuguese,japanese,Column 16
"Buy_Price","Purchase price:","Purchase price:","Kaufpreis:","购买价格：","購買價格：","Цена покупки:","Koupit cenu:","Cena zakupu:","Vásárlási ár:","Prezzo di acquisto:","Precio de compra:","Prix d'achat:","Preço de compra:","購入価格：",
"Sell_Price","Selling price:",Selling price:,"Verkaufspreis:","销售价格：","銷售價格：","Цена продажи:","Prodejní cena:","Cena sprzedaży:","Eladási ár:","Prezzo di vendita:","Precio de venta:","Prix de vente:","Preço de venda:","販売価格：",
"Buy","Buy","Buy","Kaufen","买","買","Купить","Koupit","Kupować","Vásárolni","Acquista","Comprar","Acheter","Comprar","購入",
"trade","trade","trade","Handel","贸易","貿易","торговля","obchod","handel","kereskedelem","commercio","comercio","commerce","comércio","貿易",
"Sell","Sell","Sell","Verkaufen","卖","賣","Продать","Prodat","Sprzedać","Eladni","Vendi","Vender","Vendre","Vender","売る",
"Price","Price","Price","Preis","价格","價格","Цена","Cena","Cena","Ár","Prezzo","Precio","Prix","Preço","価格",
"sum","sum","sum","Summe","总和","總和","Сумма","součet","suma","összeg","somma","suma","somme","soma","合計",
"sell_Shopping_Cart","Items to sell","Items to sell","Artikel zum Verkauf","要出售的物品","要出售的物品","Товары на продажу","Položky na prodej","Przedmioty do sprzedaży","Eladásra szánt tételek","Articoli da vendere","Artículos para vender","Articles à vendre","Itens para vender","販売するアイテム",
"buy_Shopping_Cart","Items to buy","Items to buy","Artikel zum Kauf","要购买的物品","要購買的物品","Товары на покупку","Položky na nákup","Przedmioty do kupienia","Vásárolni kívánt tételek","Articoli da acquistare","Artículos para comprar","Articles à acheter","Itens para comprar","購入するアイテム",
"Money","Money:",Money:,"Geld:","现金：","現金：","Деньги:","Peníze:","Pieniądze:","Pénz:","Denaro:","Dinero:","Argent:","Dinheiro:","お金：",
"Licence_Menu","Licence Menu","Licence Menu","Lizenzmenü","许可证菜单","執照菜單","Меню лицензий","Licenční nabídka","Menu licencji","Engedély menü","Menu licenze","Menú de licencias","Menu de licences","Menu de Licença","ライセンスメニュー",
"License","License","License","Lizenz","许可证","執照","Лицензия","Licence","Licencja","Engedély","Licenza","Licencia","License","Licença","ライセンス",
